10001,9876543211234567,1000005,ONLINE
10002,5678876556788765,1000000,ATM
10003,5678876556788765,1000007,POS
10004,4456789123498765,1000003,POS
10005,9876543211234567,1000003,ONLINE
10006,8900988900988900,10000012,ONLINE
10007,3234432112344321,10000010,ONLINE
10008,6456789123498765,10000013,ATM
10009,9876543211234567,10000014,ATM
100010,5456789123498765,1000002,ATM
100011,5456789123498765,1000004,ATM
100012,4456789123498765,1000002,ATM
100013,5456789123498765,1000008,POS
100014,6234432112344321,10000011,POS
100015,4456789123498765,10000011,ONLINE
100016,1234432112344321,10000012,POS
100017,1234432112344321,1000003,ONLINE
100018,1234432112344321,1000001,ATM
100019,2234432112344321,1000003,ATM
100020,8900988900988900,1000003,ATM
100021,6456789123498765,1000003,ATM
100022,4234432112344321,1000008,ATM
100023,5456789123498765,10000010,POS
100024,6456789123498765,1000006,POS
100025,4567899876545678,10000010,ATM
100026,6234432112344321,1000008,ATM
100027,4456789123498765,10000012,ONLINE
100028,6234432112344321,10000013,POS
100029,4567899876545678,1000008,ATM
100030,4234432112344321,1000003,POS
100031,4234432112344321,10000011,POS
100032,1234554321123451,10000011,ONLINE
100033,2234432112344321,1000003,ATM
100034,4567899876545678,1000007,ATM
100035,5234432112344321,10000011,POS
100036,1234554321123451,1000003,ONLINE
100037,5456789123498765,1000008,ONLINE
100038,3456789123498765,1000003,POS
100039,6234432112344321,1000006,ONLINE
100040,2234432112344321,10000012,ONLINE
100041,4456789123498765,10000012,POS
100042,1234432112344321,10000010,ONLINE
100043,8900988900988900,10000012,ONLINE
100044,4456789123498765,1000009,POS
100045,1234432112344321,1000003,ONLINE
100046,6456789123498765,1000002,ATM
100047,4567899876545678,10000011,POS
100048,8900988900988900,10000011,POS
100049,1234432112344321,10000012,POS
100050,4456789123498765,1000004,ATM
100051,9876543211234567,10000011,POS
100052,4234432112344321,1000006,ONLINE
100053,6234432112344321,1000000,ATM
100054,5234432112344321,10000011,ATM
100055,3234432112344321,1000009,ATM
100056,1234432112344321,1000009,POS
100057,1234432112344321,1000002,ONLINE
100058,5234432112344321,1000002,ONLINE
100059,2234432112344321,1000009,ONLINE
100060,6456789123498765,10000012,ATM
100061,1234554321123451,10000010,ONLINE
100062,5678876556788765,1000001,ONLINE
100063,3234432112344321,10000014,ATM
100064,9876543211234567,1000001,POS
100065,1234432112344321,1000008,ONLINE
100066,5234432112344321,10000012,POS
100067,4234432112344321,1000005,ATM
100068,3456789123498765,1000008,POS
100069,9876543211234567,1000009,ONLINE
100070,4456789123498765,10000014,POS
100071,2234432112344321,1000004,POS
100072,6234432112344321,10000012,ONLINE
100073,3234432112344321,1000009,POS
100074,5456789123498765,1000004,ONLINE
100075,1234554321123451,10000013,ONLINE
100076,4456789123498765,10000014,ATM
100077,2234432112344321,1000005,POS
100078,3456789123498765,1000001,POS
100079,3456789123498765,10000012,ONLINE
100080,9876543211234567,1000002,POS
100081,8900988900988900,10000010,ATM
100082,3234432112344321,1000002,ONLINE
100083,5234432112344321,1000009,ONLINE
100084,4234432112344321,1000003,ATM
100085,3234432112344321,1000000,ONLINE
100086,5456789123498765,1000001,POS
100087,4456789123498765,1000003,ONLINE
100088,5678876556788765,1000002,ATM
100089,4234432112344321,1000003,ONLINE
100090,6234432112344321,10000011,POS
100091,1234432112344321,10000012,ATM
100092,6234432112344321,1000001,ONLINE
100093,1234554321123451,10000014,ATM
100094,1234554321123451,10000013,ONLINE
100095,5456789123498765,1000001,ONLINE
100096,5678876556788765,1000000,ONLINE
100097,4234432112344321,1000008,POS
100098,4567899876545678,10000014,POS
